Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Appalachian State University,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,59%,Public
Aquinas College,MI,Test Optional,,Yes,https://www.aquinas.edu/admissions/undergraduate/requirements,84%,Private not-for-profit
Arapahoe Community College,CO,Test Optional,,Unannounced,https://www.arapahoe.edu/admissions/admissions-requirements,,Public
Arcadia University,PA,Test Optional,,Unannounced,https://www.arcadia.edu/news/2020/05/arcadia-adopts-sat-optional-policy-class-2025,74%,Private not-for-profit
Arizona Christian University,AZ,Test Optional,,Unannounced,https://www.arizonachristian.edu/admissions/campus/freshmen/,100%,Private not-for-profit
Arizona College of Nursing-Salt Lake City,UT,Test Optional,,Unannounced,https://www.arizonacollege.edu/admissions/,,Private for-profit
Arizona College-Southfield,MI,Test Optional,,Unannounced,https://www.arizonacollege.edu/admissions/,,Private for-profit
Arizona State University Campus Immersion,AZ,Test Optional,3,Unannounced,https://admission.asu.edu/apply/first-year/admission,,Public
Arkansas Baptist College,AR,Test Optional,4,Unannounced,,,Private not-for-profit
Arkansas State University,AR,Test Optional,3,Yes,,10%,Public
Arkansas Tech University,AR,Test Optional,"3,6",Unannounced,https://www.nwaonline.com/news/2024/oct/24/arkansas-tech-to-continue-test-optional/,7%,Public
Arlington Baptist University,TX,Test Optional,1,Unannounced,,,Private not-for-profit
Art Academy of Cincinnati,OH,Test Optional,,Unannounced,https://www.artacademy.edu/admissions/how-to-apply.php,,Private not-for-profit
Art Center College of Design,CA,Test Optional,,Unannounced,,,Private not-for-profit
Asbury University,KY,Test Optional,,No,,,Private not-for-profit
Ascent College,VA,Test Optional,,Unannounced,https://ascent.edu/application-for-admission/,,Private not-for-profit
Ashland University,OH,Test Optional,4,Unannounced,https://www.ashland.edu/undergraduate-admissions#3186,44%,Private not-for-profit
Aspen University,AZ,Test Optional,,Unannounced,,,Private for-profit
Assumption University,MA,Test Optional,,No,,100%,Private not-for-profit
Atenas College,PR,Test Optional,,Unannounced,https://www.atenascollege.edu/admisiones,,Private not-for-profit
ATI College-Whittier,CA,Test Optional,6,No,https://wp.ati.edu/admission/requirements/,,Private for-profit
Atlanta Metropolitan State College,GA,Test Optional,,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,Public
Atlantic University College,PR,Test Optional,,Unannounced,,,Private not-for-profit
Atlantis University,FL,Test Optional,,Unannounced,,,Private for-profit
Atlantis University-Florida Palms University,FL,Test Optional,6,No,https://atlantisuniversity.edu/undergraduate-admissions/,,Private for-profit
Auburn University,AL,Test Optional,3,Yes,https://www.auburn.edu/admissions/prospective-students/freshmen/index.php,-3%,Public
Auburn University at Montgomery,AL,Test Optional,,Unannounced,https://www.aum.edu/admissions/undergraduate-student-admissions/,21%,Public
Augsburg University,MN,Test Free,,No,https://www.augsburg.edu/firstyear/inquire-and-apply/test-optional/,,Private not-for-profit
Augustana College,IL,Test Optional,,No,,10%,Private not-for-profit
Augustana University,SD,Test Optional,,No,https://www.augie.edu/admission-aid/admission-requirements/test-optional-admission-policy,27%,Private not-for-profit
Aultman College of Nursing and Health Sciences,OH,Test Optional,3,Unannounced,https://www.aultmancollege.edu/bachelor-in-health-education,46%,Private not-for-profit
Austin College,TX,Test Optional,,No,https://www.austincollege.edu/admission/apply/freshman/,61%,Private not-for-profit
Austin Peay State University,TN,Test Optional,3,No,https://www.apsu.edu/admissions/index.php,34%,Public
Ave Maria University,FL,Test Optional,,Unannounced,https://www.avemaria.edu/admissions/admissions-process,100%,Private not-for-profit
Averett University,VA,Test Optional,,Unannounced,,93%,Private not-for-profit
Averett University-Non-Traditional Programs,VA,Test Optional,,Unannounced,https://gps.averett.edu/admissions/apply-for-admission/,,Private not-for-profit
Aviator College of Aeronautical Science and Technology,FL,Test Optional,,Unannounced,https://www.aviator.edu/_files/ugd/d8b6b1_db3dc7e43cdc40418e2aeaa40e89a0f6.pdf,,Private for-profit
Avila University,MO,Test Optional,,Unannounced,https://www.avila.edu/?s=test+optional,58%,Private not-for-profit
Azusa Pacific University,CA,Test Optional,4,No,,88%,Private not-for-profit
Babson College,MA,Test Optional,,Yes,https://www.babson.edu/undergraduate/admission/how-to-apply/standardized-testing/,60%,Private not-for-profit
Baker College,MI,Test Optional,,Unannounced,,100%,Private not-for-profit
Baker University,KS,Test Optional,3,Unannounced,https://www.bakeru.edu/admissions/residential-admissions-process/residence-submit-an-application/,93%,Private not-for-profit
Bakersfield College,CA,Test Optional,,Unannounced,https://www.bakersfieldcollege.edu/steps,,Public
Baldwin Wallace University,OH,Test Optional,3,No,,24%,Private not-for-profit
Ball State University,IN,Test Optional,,No,https://www.bsu.edu/admissions/undergraduate-admissions/apply-now/test-information#accordion_q2,64%,Public
Baptist Bible College,MO,Test Optional,,Unannounced,,,Private not-for-profit
Baptist Missionary Association Theological Seminary,TX,Test Optional,,Unannounced,,,Private not-for-profit
Baptist University of the Americas,TX,Test Optional,,Unannounced,,,Private not-for-profit
Barclay College,KS,Test Optional,,Unannounced,https://www.barclaycollege.edu/apply/,,Private not-for-profit
Bard College,NY,Test Optional,,No,,,Private not-for-profit
Bard College at Simon's Rock,MA,Test Optional,,No,,100%,Private not-for-profit
Barnard College,NY,Test Optional,,Yes,https://barnard.edu/temporary-test-optional-policy-faq,50%,Private not-for-profit
Barry University,FL,Test Optional,,Unannounced,https://www.barry.edu/en/admissions/undergraduate/,,Private not-for-profit
Barton College,NC,Test Optional,,Unannounced,https://www.barton.edu/virtual-admissions/,99%,Private not-for-profit
Bates College,ME,Test Optional,,No,,71%,Private not-for-profit
Bay Mills Community College,MI,Test Optional,6,Unannounced,https://www.bmcc.edu/admissions#new%20student,,Public
Bay Path University,MA,Test Optional,,No,,91%,Private not-for-profit
Bay State College,MA,Test Optional,,Unannounced,,100%,Private for-profit
Baylor University,TX,Test Optional,,Yes,https://admissions.web.baylor.edu/admission/incoming-freshman/test-optional-process,49%,Private not-for-profit
Beacon College,FL,Test Optional,,Unannounced,,,Private not-for-profit
Beal University,ME,Test Optional,,Unannounced,,,Private for-profit
Beckfield College-Florence,KY,Test Optional,,Unannounced,,,Private for-profit
Beis Medrash Heichal Dovid,NY,Test Optional,,Unannounced,,,Private not-for-profit
Belhaven University,MS,Test Optional,"3,4",Unannounced,https://catalogue.belhaven.edu/content.php?catoid=7&navoid=1264#admission-requirements-and-procedures,18%,Private not-for-profit
Bellarmine University,KY,Test Optional,,Unannounced,,37%,Private not-for-profit
Bellevue College,WA,Test Optional,,Unannounced,,,Public
Bellevue University,NE,Test Optional,,Unannounced,,,Private not-for-profit
Bellin College,WI,Test Optional,,Unannounced,https://www.bellincollege.edu/2020/07/28/bellin-college-moves-to-test-optional-school-for-2021/,,Private not-for-profit
Bellingham Technical College,WA,Test Optional,6,Unannounced,https://www.btc.edu/FutureStudents/AdmissionsSteps.html,,Public
Belmont Abbey College,NC,Test Optional,3,No,,49%,Private not-for-profit
Belmont University,TN,Test Optional,,No,http://www.belmont.edu/admissions/apply/freshmen/index.html,34%,Private not-for-profit
Beloit College,WI,Test Optional,,No,,76%,Private not-for-profit
Bemidji State University,MN,Test Optional,,Unannounced,https://www.bemidjistate.edu/admissions/undergraduate/apply/admission-criteria/,44%,Public
Benedict College,SC,Test Optional,3,Unannounced,,84%,Private not-for-profit
Benedictine University,IL,Test Optional,,Unannounced,,100%,Private not-for-profit
Benjamin Franklin Cummings Institute of Technology,MA,Test Optional,,Unannounced,,,Private not-for-profit
Bennett College,NC,Test Optional,,Unannounced,,84%,Private not-for-profit
Bennington College,VT,Test Optional,,No,,82%,Private not-for-profit
Bentley University,MA,Test Optional,,Yes,https://www.bentley.edu/undergraduate/apply/first-year-applicant,68%,Private not-for-profit
Berea College,KY,Test Optional,,No,https://www.berea.edu/admissions/admission-requirements,52%,Private not-for-profit
Bergin Universiy,CA,Test Optional,,Unannounced,,,
Berkeley College-New York,NY,Test Optional,,Unannounced,,,Private for-profit
Berkeley College-Woodland Park,NJ,Test Optional,,Unannounced,,,Private for-profit
Berklee College of Music,MA,Test Optional,,Unannounced,,,Private not-for-profit
Berry College,GA,Test Optional,,Unannounced,,57%,Private not-for-profit
Beth Medrash Govoha,NJ,Test Optional,,Unannounced,,,
Bethany College,WV,Test Optional,,Unannounced,,100%,Private not-for-profit
Bethany College,KS,Test Optional,,Unannounced,,35%,Private not-for-profit
Bethany Global University,MN,Test Optional,,Unannounced,,,Private not-for-profit
Bethany Lutheran College,MN,Test Optional,,Unannounced,https://blc.edu/admissions/common-admission-questions/,29%,Private not-for-profit
Bethel College-North Newton,KS,Test Optional,,Unannounced,https://www.bethelks.edu/admissions/complete-your-application,36%,Private not-for-profit
Bethel University,MN,Test Optional,,No,https://www.bethel.edu/undergrad/admissions/apply/test-optional,55%,Private not-for-profit
Bethel University,TN,Test Optional,,No,https://www.bethel.edu/news/articles/2020/april/test-optional,69%,Private not-for-profit
Bethel University,IN,Test Optional,4,No,https://betheluniversity.edu/admissions-aid/apply,94%,Private not-for-profit
Bethesda University,CA,Test Optional,,Unannounced,,,Private not-for-profit
Bethune-Cookman University,FL,Test Optional,,Unannounced,,24%,Private not-for-profit
Beulah Heights University,GA,Test Optional,,Unannounced,,,Private not-for-profit
Beverly Hills Design Institute,CA,Test Optional,,Unannounced,,,Private for-profit
Binghamton University,NY,Test Optional,,No,https://www.binghamton.edu/admissions/info/test-optional-faqs.html,34%,Public
Biola University,CA,Test Optional,,Yes,,64%,Private not-for-profit
Bismarck State College,ND,Test Optional,6,Unannounced,https://www.valleynewslive.com/2022/05/27/north-dakota-public-universities-go-test-optional/,,Public
Black Hills State University,SD,Test Optional,3,Unannounced,,25%,Public
Blackburn College,IL,Test Optional,,Unannounced,,,Private not-for-profit
Bloomfield College,NJ,Test Optional,,No,,87%,Private not-for-profit
Bloomsburg University of Pennsylvania,PA,Test Optional,,Unannounced,https://www.newsitem.com/news/local/bloomsburg-university-introducing-new-test-optional-admission-practice/article_d7363caf-3cf2-5b91-9b36-9479da0964e2.html,,Public
Bluefield State University,WV,Test Optional,3,Unannounced,,42%,Public
Bluefield University,VA,Test Optional,3,Unannounced,,,Private not-for-profit
Bluffton University,OH,Test Optional,3,Unannounced,https://www.bluffton.edu/catalog/admissions/admissions/index.aspx,83%,Private not-for-profit
Bob Jones University,SC,Test Optional,,Unannounced,https://www.bju.edu/admission/apply/admission-process.php,,Private not-for-profit
Boise State University,ID,Test Free,"2,3",No,https://www.boisestate.edu/admissions/apply/nonresident/,,Public
Boricua College,NY,Test Optional,,Unannounced,,,Private not-for-profit
Boston Architectural College,MA,Test Optional,,Unannounced,,,Private not-for-profit
Boston College,MA,Test Optional,,Yes,https://www.bc.edu/bc-web/admission/apply/test-optional.html,48%,Private not-for-profit
Boston University,MA,Test Optional,,Yes,https://www.bu.edu/admissions/apply/first-year/test-policy/,65%,Private not-for-profit
Bowdoin College,ME,Test Optional,,No,https://www.bowdoin.edu/admissions/our-process/test-optional-policy/index.html,43%,Private not-for-profit
Bowie State University,MD,Test Optional,3,Yes,https://www.bowiestate.edu/admissions-and-aid/undergraduate-admissions/test-optional-policy.php,94%,Public
Bowling Green State University-Firelands,OH,Test Optional,,Unannounced,,,Public
Bowling Green State University-Main Campus,OH,Test Optional,,Yes,https://www.bgsu.edu/admissions/test-optional.html,9%,Public
Bradley University,IL,Test Free,,Unannounced,https://www.bradley.edu/admissions/first-year/#How-to-apply,46%,Private not-for-profit
Brandeis University,MA,Test Optional,,No,https://www.brandeis.edu/admissions/apply/testing.html,44%,Private not-for-profit
Brazosport College,TX,Test Optional,,Unannounced,,,Public
Brenau University,GA,Test Optional,,No,,100%,Private not-for-profit
Brescia University,KY,Test Optional,,No,https://www.brescia.edu/apply/,97%,Private not-for-profit
Brevard College,NC,Test Optional,,No,,45%,Private not-for-profit
Brewton-Parker College,GA,Test Optional,,Yes,https://www.bpc.edu/admissions-aid/information/admissions-process/freshman/,,Private not-for-profit
Bridgewater College,VA,Test Optional,,No,https://www.bridgewater.edu/admissions-aid/apply/first-year-students/,73%,Private not-for-profit
Bridgewater State University,MA,Test Optional,,No,,85%,Public
Brigham Young University,UT,Test Optional,,Yes,https://enrollment.byu.edu/admissions/educational-history,32%,Private not-for-profit
Brigham Young University-Idaho,ID,Test Optional,,Yes,https://www.byui.edu/admissions/apply/freshmen,15%,Private not-for-profit
Broadview College,UT,Test Optional,,Unannounced,,,Private for-profit
Brookline College-Albuquerque,NM,Test Optional,,Unannounced,https://www.brooklinecollege.edu/admissions/requirements/,,Private for-profit
Brookline College-Phoenix,AZ,Test Optional,,Unannounced,https://www.brooklinecollege.edu/admissions/requirements/,,Private for-profit
