Institution_Name,State,Policy_2026,Policy_Details,Is_policy_temporary,Link_to_policy,Pct_enroll_no_scores,Control_of_institution
Dickinson College,PA,Test Optional,,No,https://www.dickinson.edu/info/20256/apply/996/standardized_testing_information,100%,Private not-for-profit
Dickinson State University,ND,Test Optional,,Unannounced,https://www.thedickinsonpress.com/news/education/6556800-North-Dakota-higher-ed-board-temporarily-suspends-ACTSAT-requirement,39%,Public
DigiPen Institute of Technology,WA,Test Optional,,Unannounced,,40%,Private for-profit
Dillard University,LA,Test Optional,3,No,https://www.dillard.edu/admissions/requirements/test-optional.php,53%,Private not-for-profit
Dine College,AZ,Test Optional,,Unannounced,,,Public
Divine Word College,IA,Test Optional,,Unannounced,https://www.dwci.edu/admissions/admission-criteria,,Private not-for-profit
Doane University,NE,Test Optional,3,No,,,Private not-for-profit
Dominican University,IL,Test Optional,,No,,86%,Private not-for-profit
Dominican University New York,NY,Test Optional,4,No,,97%,Private not-for-profit
Dominican University of California,CA,Test Optional,4,No,,94%,Private not-for-profit
Donnelly College,KS,Test Optional,,Unannounced,,,Private not-for-profit
Dordt University,IA,Test Optional,3,No,https://siouxcityjournal.com/news/local/briefs/dordt-creates-a-test-optional-admissions-pilot-program/article_c10b84a3-1ab6-5806-bc05-9785e1fd9c41.html,17%,Private not-for-profit
Drake University,IA,Test Optional,3,No,,47%,Private not-for-profit
Drew University,NJ,Test Optional,,No,,64%,Private not-for-profit
Drexel University,PA,Test Optional,,No,https://drexel.edu/admissions/apply/undergrad-instructions/first-year-instructions/standardized-tests,52%,Private not-for-profit
Drury University,MO,Test Optional,,Unannounced,,28%,Private not-for-profit
Drury University-College of Continuing Professional Studies,MO,Test Optional,,Unannounced,https://www.drury.edu/admission/test-optional-faqs/,,Private not-for-profit
Duke University,NC,Test Optional,,Yes,https://admissions.duke.edu/counselors/,14%,Private not-for-profit
Dunwoody College of Technology,MN,Test Optional,,Unannounced,,81%,Private not-for-profit
Duquesne University,PA,Test Optional,"3,4",No,,65%,Private not-for-profit
Eagle Gate College -Idaho Falls Campus,ID,Test Optional,,Unannounced,https://www.provocollege.edu/admissions/requirements/,,Private for-profit
Eagle Gate College-Boise Campus,ID,Test Optional,6,Unannounced,,,Private for-profit
Eagle Gate College-Layton,UT,Test Optional,,Unannounced,,,Private for-profit
Eagle Gate College-Murray,UT,Test Optional,,Unannounced,,,Private for-profit
Earlham College,IN,Test Optional,,No,"https://earlham.edu/admissions/apply/#:~:text=Earlham%20has%20a%20%22test%2Doptional,our%20ACT%20code%20is%201186.",56%,Private not-for-profit
East Carolina University,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,,Public
East Central University,OK,Test Optional,3,Unannounced,https://www.ecok.edu/admissions/freshman-student,7%,Public
East Georgia State College,GA,Test Optional,,Unannounced,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,Public
East Stroudsburg University of Pennsylvania,PA,Test Optional,,No,,75%,Public
East Tennessee State University,TN,Test Optional,3,Unannounced,https://www.etsu.edu/admissions/apply/freshman/requirements.php,13%,Public
East Texas Baptist University,TX,Test Optional,3,Unannounced,,,Private not-for-profit
East-West University,IL,Test Optional,,Unannounced,,,Private not-for-profit
Eastern Connecticut State University,CT,Test Optional,"3,4",No,https://www.easternct.edu/admissions/test-optional.html,36%,Public
Eastern Florida State College,FL,Test Optional,6,Unannounced,,,Public
Eastern Illinois University,IL,Test Optional,,Unannounced,https://www.eiu.edu/admissions/admissions_requirements.php,99%,Public
Eastern International College-Belleville,NJ,Test Optional,6,Unannounced,,,Private for-profit
Eastern International College-Jersey City,NJ,Test Optional,,Unannounced,,,Private for-profit
Eastern Kentucky University,KY,Test Optional,,Unannounced,https://admissions.eku.edu/freshman,10%,Public
Eastern Mennonite University,VA,Test Optional,,Unannounced,https://emu.edu/coronavirus/fall-faq,,Private not-for-profit
Eastern Michigan University,MI,Test Optional,3,Yes,https://irim.emich.edu/datafiles/pdf/cds2023v2.pdf,26%,Public
Eastern Oregon University,OR,Test Optional,,Unannounced,,,Public
Eastern University,PA,Test Optional,4,No,,,Private not-for-profit
Eastern Washington University,WA,Test Free,,Unannounced,"https://www.ewu.edu/apply/freshman/#:~:text=EWU%20is%20test%20blind.,through%20a%20holistic%20review%20process.",,Public
Eastwick College-Ramsey,NJ,Test Optional,,Unannounced,,,Private for-profit
Eckerd College,FL,Test Optional,,No,"https://www.eckerd.edu/admissions/faq/#:~:text=What%20is%20your%20test%20optional,of%20the%20application%20for%20admission.",41%,Private not-for-profit
ECPI University,VA,Test Optional,,Unannounced,,,Private for-profit
Edgewood College,WI,Test Optional,,No,https://www.captechu.edu/admissions/undergraduate,,Private not-for-profit
Edinboro University of Pennsylvania,PA,Test Optional,,No,https://www.edinboro.edu/admissions/first-year-students/,,Public
Edmonds College,WA,Test Optional,,Unannounced,,,Public
EDP University of Puerto Rico Inc-San Juan,PR,Test Optional,1,Unannounced,https://edpuniversity.edu/wp-content/uploads/Undergraduate-Admission-Policy-002-2024.pdf,,Private not-for-profit
EDP University of Puerto Rico Inc-San Sebastian,PR,Test Optional,1,Unannounced,https://edpuniversity.edu/wp-content/uploads/Undergraduate-Admission-Policy-002-2024.pdf,,Private not-for-profit
Elim Bible Institute and College,NY,Test Optional,,Unannounced,https://www.elim.edu/apply,100%,Private not-for-profit
Elizabeth City State University,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,79%,Public
Elizabethtown College,PA,Test Optional,,Unannounced,https://www.etown.edu/admissions/apply/,58%,Private not-for-profit
Elmhurst University,IL,Test Optional,,Unannounced,https://www.elmhurst.edu/admission/first-year-students/how-to-apply/,61%,Private not-for-profit
Elmira College,NY,Test Optional,,No,,82%,Private not-for-profit
Elon University,NC,Test Optional,"1,4",No,https://www.elon.edu/u/admissions/undergraduate/apply/application-requirements/,97%,Private not-for-profit
Embry-Riddle Aeronautical University-Daytona Beach,FL,Test Optional,,Unannounced,,14%,Private not-for-profit
Embry-Riddle Aeronautical University-Prescott,AZ,Test Optional,,Unannounced,,38%,Private not-for-profit
Embry-Riddle Aeronautical University-Worldwide,FL,Test Optional,,Unannounced,,95%,Private not-for-profit
Emerson College,MA,Test Optional,,No,,70%,Private not-for-profit
Emmanuel College,MA,Test Optional,,Unannounced,,82%,Private not-for-profit
"Emmanuel University
",GA,Test Optional,,Unannounced,https://eu.edu/admissions/freshman/,100%,Private not-for-profit
Emmaus Bible College,IA,Test Optional,,Unannounced,https://www.emmaus.edu/admissions,28%,Private not-for-profit
Emory & Henry College,VA,Test Optional,,No,https://www.emoryhenry.edu/admission/how-to-apply/first-year/,100%,Private not-for-profit
Emory University,GA,Test Optional,,Yes,https://emorywheel.com/emory-remains-test-optional-for-2024-25-admission-cycle/,35%,Private not-for-profit
Empire State University,NY,Test Free,,Yes,,,Public
Emporia State University,KS,Test Optional,"2,3",Unannounced,https://www.emporia.edu/admissions-costs/admissions-and-costs/undergraduate-admissions-process/,64%,Public
Endicott College,MA,Test Optional,,Unannounced,,80%,Private not-for-profit
Ensign College,UT,Test Optional,,Unannounced,https://www.ensign.edu/how-to-apply,,Private not-for-profit
Epic Bible College & Graduate School,CA,Test Optional,,Unannounced,https://www.epic.edu/admissions,,Private not-for-profit
Erskine College,SC,Test Optional,3,Unannounced,https://www.erskine.edu/admissions-aid/apply/,28%,Private not-for-profit
Escuela de Artes Plasticas de Puerto Rico,PR,Test Optional,,Unannounced,,,Public
Eureka College,IL,Test Optional,,Unannounced,https://www.eureka.edu/freshman,100%,Private not-for-profit
Evangel University,MO,Test Optional,3,No,,,Private not-for-profit
Everglades University,FL,Test Optional,,Unannounced,,,Private not-for-profit
Excelsior University,NY,Test Optional,,Unannounced,,,
Fairfax University of America,VA,Test Optional,,Unannounced,,,Private not-for-profit
Fairfield University,CT,Test Optional,,No,https://www.fairfield.edu/undergraduate/admission/how-to-apply/index.html#standardized-test,67%,Private not-for-profit
Fairleigh Dickinson University-Florham Campus,NJ,Test Optional,,Unannounced,https://www.fdu.edu/admissions/freshman/,80%,Private not-for-profit
Fairleigh Dickinson University-Metropolitan Campus,NJ,Test Optional,3,No,https://www.fdu.edu/admissions/freshman/,86%,Private not-for-profit
Faith International University,WA,Test Optional,,Unannounced,,,Private not-for-profit
Faith Theological Seminary and Christian College,FL,Test Optional,,Unannounced,https://www.ftscc.org/copy-2-of-events,,Private not-for-profit
Farmingdale State College,NY,Test Optional,,Yes,https://www.farmingdale.edu/admissions/faq.shtml,58%,Public
Fashion Institute of Technology,NY,Test Optional,,Unannounced,,,Public
Fayetteville State University,NC,Test Optional,,Yes,https://www.northcarolina.edu/students/admission/,84%,Public
Feather River Community College District,CA,Test Optional,,Unannounced,https://www.frc.edu/admissions/apply-for-bachelor-program,,Public
Felbry College,OH,Test Optional,6,Unannounced,https://www.felbrycollege.edu/bachelor-of-science-degree-in-nursing/,,Private for-profit
Felician University,NJ,Test Optional,4,Unannounced,https://www.captechu.edu/admissions/undergraduate,67%,Private not-for-profit
Ferris State University,MI,Test Optional,3,No,https://www.ferris.edu/admissions/test-optional/homepage.htm,35%,Public
Ferrum College,VA,Test Optional,3,No,http://ferrum.catalog.acalog.com/content.php?catoid=7&navoid=408#college-entrance-test,88%,Private not-for-profit
FIDM-Fashion Institute of Design & Merchandising,CA,Test Optional,,Unannounced,,,Private for-profit
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,Test Optional,,Unannounced,https://fidm.edu/en/admissions/Application+Requirements+and+Fees/,,Private for-profit
Fisher College,MA,Test Optional,,Unannounced,https://www.fisher.edu/admissions/undergraduate-admissions/apply,,Private not-for-profit
Fisk University,TN,Test Optional,,No,https://www.fisk.edu/admissions/apply/new-first-time/,35%,Private not-for-profit
Fitchburg State University,MA,Test Optional,,No,,75%,Public
Five Towns College,NY,Test Optional,,Unannounced,,,Private for-profit
Flagler College,FL,Test Optional,,No,,63%,Private not-for-profit
Florida Gateway College,FL,Test Optional,,Unannounced,,,Public
Florida Memorial University,FL,Test Optional,1,Unannounced,,100%,Private not-for-profit
Florida National University-Main Campus,FL,Test Optional,,Unannounced,,,Private for-profit
Florida Southern College,FL,Test Optional,,Unannounced,https://www.flsouthern.edu/admissions/undergraduate/first-years/residential-undergraduate-test-optional-policy,36%,Private not-for-profit
Florida SouthWestern State College,FL,Test Optional,,Unannounced,,,Public
Florida State College at Jacksonville,FL,Test Optional,,Unannounced,,,Public
Foothill College,CA,Test Optional,,Unannounced,https://foothill.edu/reg/,,Public
Fordham University,NY,Test Optional,,No,https://www.fordham.edu/undergraduate-admission/apply/what-were-looking-for/testing-policy/,63%,Private not-for-profit
Fort Hays State University,KS,Test Optional,1,Unannounced,,12%,Public
Fort Lewis College,CO,Test Optional,,Unannounced,https://durangoherald.com/articles/332410-fort-lewis-college-drops-satact-tests-for-upcoming-year,72%,Public
Fort Valley State University,GA,Test Optional,3,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,49%,Public
Framingham State University,MA,Test Optional,3,No,,83%,Public
Francis Marion University,SC,Test Optional,,Unannounced,https://www.fmarion.edu/admissions/requirements/,61%,Public
Franciscan Missionaries of Our Lady University,LA,Test Optional,6,Unannounced,https://franu.edu/admissions/admission-requirements/undergraduate/freshman-and-first-time-applicants,8%,Private not-for-profit
Franciscan University of Steubenville,OH,Test Optional,3,Unannounced,https://franciscan.edu/requirement,38%,Private not-for-profit
Franklin and Marshall College,PA,Test Optional,,No,https://www.fandm.edu/admission/apply/standardized-test-option,63%,Private not-for-profit
Franklin College,IN,Test Optional,,Unannounced,https://franklincollege.edu/admissions/apply-now-2/first-year/,43%,Private not-for-profit
Franklin Pierce University,NH,Test Optional,,No,,81%,Private not-for-profit
Franklin University,OH,Test Optional,,Unannounced,,,Private not-for-profit
Franklin W Olin College of Engineering,MA,Test Optional,,Yes,"https://www.olin.edu/admission/faq#:~:text=Will%20I%20have%20to%20submit,%2C%202025%20and%202026%20enrollment).",28%,Private not-for-profit
Freed-Hardeman University,TN,Test Optional,3,Unannounced,https://fhu.edu/admissions-aid/apply-now/how-to-apply/,13%,Private not-for-profit
Fremont University,CA,Test Optional,,Unannounced,,,Private for-profit
Fresno Pacific University,CA,Test Optional,,Unannounced,https://www.fresno.edu/admission/undergraduate/admission-requirements,100%,Private not-for-profit
Friends University,KS,Test Optional,,Unannounced,,36%,Private not-for-profit
Front Range Community College,CO,Test Optional,,No,https://frontrange.edu/admissions-aid/apply.html,,Public
Frostburg State University,MD,Test Optional,,Unannounced,https://www.frostburg.edu/admissions-and-cost/undergraduate/apply/admission-requirements.php,100%,Public
Full Sail University,FL,Test Optional,,Unannounced,,,Private for-profit
Furman University,SC,Test Optional,,No,,40%,Private not-for-profit
Galen College of Nursing-Cincinnati,OH,Test Optional,6,Unannounced,https://galencollege.edu/admission-requirements,,Private for-profit
Galen College of Nursing-Louisville,KY,Test Optional,6,Unannounced,https://galencollege.edu/admission-requirements,,Private for-profit
Galen College of Nursing-San Antonio,TX,Test Optional,6,Unannounced,https://galencollege.edu/admission-requirements,,Private for-profit
Galen College of Nursing-Tampa Bay,FL,Test Optional,6,Unannounced,https://galencollege.edu/admission-requirements,,Private for-profit
Galen Health Institutes-Asheville,NC,Test Optional,6,Unannounced,https://galencollege.edu/get-started/admissions/ati-teas,,Private for-profit
Galen Health Institutes-Austin Campus,TX,Test Optional,6,Unannounced,https://galencollege.edu/get-started/admissions/ati-teas,,Private for-profit
Galen Health Institutes-Gainesville,FL,Test Optional,6,Unannounced,https://galencollege.edu/get-started/admissions/ati-teas,,Private for-profit
Galen Health Institutes-Houston,TX,Test Optional,6,Unannounced,https://galencollege.edu/get-started/admissions/ati-teas,,Private for-profit
Galen Health Institutes-Miami Campus,FL,Test Optional,6,Unannounced,https://galencollege.edu/get-started/admissions/ati-teas,,Private for-profit
Galen Health Institutes-Nashville Campus,TN,Test Optional,3,Unannounced,https://galencollege.edu/get-started/admissions/requirements,,Private for-profit
Galen Health Institutes-Sarasota,FL,Test Optional,3,Unannounced,https://galencollege.edu/get-started/admissions/requirements,,Private for-profit
Galveston College,TX,Test Optional,,Unannounced,https://www.gc.edu/admissions/new-students/index.php,,Public
Gannon University,PA,Test Free,,Yes,https://www.gannon.edu/admissions/undergraduate-admissions/apply-to-gannon/,,Private not-for-profit
Gardner-Webb University,NC,Test Optional,,Unannounced,https://gardner-webb.edu/admissions-aid/undergraduate/how-to-apply-undergraduate/how-to-apply-incoming-freshman/,62%,Private not-for-profit
Gemini School of Visual Arts & Communication,TX,Test Optional,,Unannounced,,,Private for-profit
Geneva College,PA,Test Optional,,Unannounced,https://www.geneva.edu/admissions/admission_requirements,,Private not-for-profit
George Fox University,OR,Test Optional,,Unannounced,,84%,Private not-for-profit
George Mason University,VA,Test Optional,,No,https://www.gmu.edu/freshman/requirements/score-optional,59%,Public
George Washington University,DC,Test Optional,,No,,54%,Private not-for-profit
Georgia Gwinnett College,GA,Test Optional,,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,Public
Georgia Highlands College,GA,Test Optional,,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,,Public
Georgia Military College,GA,Test Optional,,No,https://www.gmcprep.com/,,Public
Georgia Southwestern State University,GA,Test Optional,3,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2025_2026,63%,Public
Georgian Court University,NJ,Test Optional,4,No,https://georgian.edu/admissions/first-year/faq/,95%,Private not-for-profit
Gettysburg College,PA,Test Optional,,No,https://www.gettysburg.edu/admissions-aid/applying-gettysburg/,60%,Private not-for-profit
Glenville State University,WV,Test Optional,3,Unannounced,,,Public
Gnomon,CA,Test Optional,,Unannounced,,,Private for-profit
Gods Bible School and College,OH,Test Optional,1,Unannounced,,100%,Private not-for-profit
Golden Gate University,CA,Test Optional,,Unannounced,,,
Goldey-Beacom College,DE,Test Optional,,Unannounced,,,Private not-for-profit
Gonzaga University,WA,Test Optional,,Unannounced,,59%,Private not-for-profit
Good Samaritan College of Nursing and Health Science,OH,Test Optional,,Unannounced,https://gscollege.edu/apply/,100%,Private not-for-profit
Goodwin University,CT,Test Optional,,Unannounced,,,Private not-for-profit
Gordon College,MA,Test Optional,,No,https://www.gordon.edu/freshmanapply,68%,Private not-for-profit
Gordon State College,GA,Test Optional,,Yes,https://www.usg.edu/announcements/usg_to_extend_temporary_test_optional_admission_for_academic_year_2023_2024,89%,Public
Goshen College,IN,Test Optional,,Unannounced,https://www.goshen.edu/admissions/apply/test-optional/,61%,Private not-for-profit
Goucher College,MD,Test Optional,,No,,71%,Private not-for-profit
Governors State University,IL,Test Optional,,Unannounced,,95%,Public
Grace Christian University,MI,Test Optional,,Unannounced,,,Private not-for-profit
Grace College and Theological Seminary,IN,Test Optional,,Unannounced,[https://www.grace.edu/admissions/undergraduate/apply-for-admission/undergraduate-students/,68%,Private not-for-profit
Grace Mission University,CA,Test Optional,,Unannounced,,,Private not-for-profit
Grace School of Theology,TX,Test Optional,,Unannounced,,,Private not-for-profit
Graceland University-Lamoni,IA,Test Optional,,Unannounced,https://www.graceland.edu/admissions/lam-requirements,100%,Private not-for-profit
Grand Canyon University,AZ,Test Optional,3,Unannounced,https://www.gcu.edu/admissions/requirements/undergraduate-admissions.php,100%,Private for-profit
Grand Valley State University,MI,Test Optional,,No,https://www.gvsu.edu/admissions/undergraduate-admissions-requirements-30.htm,29%,Public
Grand View University,IA,Test Optional,,Unannounced,,,Private not-for-profit
Granite State College,NH,Test Optional,,Unannounced,,,Public
Grantham University,--,Test Optional,,Unannounced,,,
Grays Harbor College,WA,Test Optional,,No,https://www.ghc.edu/admissions/new-students,,Public
Grayson College,TX,Test Optional,6,Unannounced,https://www.grayson.edu/apply/enrollment-steps.html,,Public
Great Basin College,NV,Test Optional,,Unannounced,,,Public
Great Northern University,WA,Test Optional,,Unannounced,https://gnu.edu/admissions/apply-2/,,
Green River College,WA,Test Optional,,Unannounced,,,Public
Greensboro College,NC,Test Optional,,Unannounced,https://www.greensboro.edu/admissions-info/high-school-students/,,Private not-for-profit
Greenville Technical College,SC,Test Optional,6,Unannounced,https://www.gvltec.edu/admissions_aid/admissions/admissions_faq.html,,Public
Greenville University,IL,Test Optional,,Unannounced,,51%,Private not-for-profit
Grinnell College,IA,Test Optional,,Yes,https://thesandb.com/44354/news/grinnell-college-to-review-test-optional-policy-fall-2026/,45%,Private not-for-profit
Grove City College,PA,Test Optional,,Yes,https://www.gcc.edu/Home/Admissions-Financial-Aid/Applying-to-Grove-City-College/How-To-Apply,26%,Private not-for-profit
Guam Community College,GU,Test Optional,6,Unannounced,https://guamcc.edu/Apply,,Public
Guilford College,NC,Test Optional,,No,https://www.guilford.edu/admissions/high-school-students/apply,68%,Private not-for-profit
Gulf Coast State College,FL,Test Optional,6,Unannounced,,,Public
Gurnick Academy of Medical Arts,CA,Test Optional,6,Unannounced,https://www.gurnick.edu/general-admission-requirements/,,Private for-profit
Gustavus Adolphus College,MN,Test Optional,,No,https://gustavus.edu/search/?q=test+policy+for+international+student,81%,Private not-for-profit
Gwynedd Mercy University,PA,Test Optional,,No,https://www.gmercyu.edu/admissions-aid/undergraduate-admissions/admissions-application-requirements,66%,Private not-for-profit
Hallmark University,TX,Test Optional,3,Unannounced,,,Private not-for-profit
Hamilton College,NY,Test Optional,,No,https://www.hamilton.edu/admission/apply/testing,45%,Private not-for-profit
Hamline University,MN,Test Optional,,Unannounced,,54%,Private not-for-profit
Hampden-Sydney College,VA,Test Optional,,Yes,https://www.hsc.edu/admission-and-financial-aid/apply,71%,Private not-for-profit
Hampshire College,MA,Test Free,,No,,,Private not-for-profit
Hampton University,VA,Test Optional,3,Yes,http://admissions.hamptonu.edu/page/Admission-Requirements-for-Freshman-Students,28%,Private not-for-profit
Hanover College,IN,Test Optional,,No,,65%,Private not-for-profit
Hardin-Simmons University,TX,Test Optional,,No,https://www.hsutx.edu/admissions/first-time/test-optional-super-scoring-admissions/,48%,Private not-for-profit
Harris-Stowe State University,MO,Test Optional,1,Unannounced,,,Public
Harrisburg University of Science and Technology,PA,Test Optional,,Unannounced,,100%,Private not-for-profit
Hartwick College,NY,Test Optional,,No,,82%,Private not-for-profit
Harvey Mudd College,CA,Test Optional,,Yes,https://www.hmc.edu/admission/apply/,40%,Private not-for-profit
Haskell Indian Nations University,KS,Test Optional,3,Unannounced,https://haskell.edu/wp-content/uploads/2024/06/New-Student-Checklist.pdf,,Public
Hastings College,NE,Test Optional,,No,https://www.hastings.edu/news/no-test-scores-needed-for-hastings-college-academic-scholarships-admission/,97%,Private not-for-profit
Haven University,CA,Test Optional,,Unannounced,https://www.haven.edu/admissions,,Private not-for-profit
Haverford College,PA,Test Optional,,No,http://haverfordclerk.com/tried-and-true-haverford-goes-permanently-test-optional/,38%,Private not-for-profit
Hawaii Pacific University,HI,Test Optional,,Yes,https://www.hpu.edu/undergraduate-admissions/first-year/admissions-requirements.html,73%,Private not-for-profit
Heidelberg University,OH,Test Optional,,Unannounced,https://www.heidelberg.edu/admission-aid/undergraduate/test-optional-admission,100%,Private not-for-profit
Helene Fuld College of Nursing,NY,Test Optional,3,Unannounced,,,Private not-for-profit
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,Test Optional,,Unannounced,,100%,Private not-for-profit
Henderson State University,AR,Test Optional,3,No,,0%,Public
Hendrix College,AR,Test Optional,,No,,21%,Private not-for-profit
Henry Ford College,MI,Test Optional,,Unannounced,https://www.hfcc.edu/apply,,Public
Heritage Bible College,NC,Test Optional,,Unannounced,,,
Heritage Christian University,AL,Test Optional,,Unannounced,,33%,Private not-for-profit
Heritage University,WA,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Akron,OH,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Atlanta,GA,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Birmingham,AL,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Brookfield,WI,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Kenosha,WI,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Madison,WI,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Minneapolis,MN,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-New Orleans,LA,Test Optional,,Unannounced,https://www.herzing.edu/faq/do-i-need-actsatgmat-scores,,Private not-for-profit
Herzing University-Orlando,FL,Test Optional,,Unannounced,,,Private not-for-profit
Herzing University-Tampa,FL,Test Optional,,Unannounced,,,Private not-for-profit
Hesston College,KS,Test Optional,,Unannounced,,,Private not-for-profit
High Point University,NC,Test Optional,,No,http://testwww.highpoint.edu/admissions/,58%,Private not-for-profit
Hilbert College,NY,Test Optional,,Unannounced,,99%,Private not-for-profit
Hillsdale College,MI,Test Optional,,Unannounced,https://www.hillsdale.edu/admissions-aid/admissions/frequently-asked-questions/,42%,Private not-for-profit
Hiram College,OH,Test Optional,3,No,,,Private not-for-profit
Hobart and William Smith Colleges,NY,Test Optional,,No,,69%,Private not-for-profit
Hobe Sound Bible College,FL,Test Optional,1,Unannounced,,,Private not-for-profit
Hofstra University,NY,Test Optional,4,No,https://www.hofstra.edu/admission/standardized-testing-policy.html,59%,Private not-for-profit
Hollins University,VA,Test Optional,,No,"https://m.hollins.edu/news/hollins-makes-test-optional-admission-policy-permanent/#:~:text=Hollins%20University%20faculty%20have%20approved,required%20when%20applying%20for%20admission.",71%,Private not-for-profit
Holy Apostles College and Seminary,CT,Test Optional,3,Unannounced,,,Private not-for-profit
Holy Cross College,IN,Test Optional,,No,https://www.hcc-nd.edu/first-year-applicants/,92%,Private not-for-profit
Holy Family University,PA,Test Optional,,Unannounced,https://www.holyfamily.edu/choosing-holy-family-u/admissions/admissions-requirements,88%,Private not-for-profit
Hood College,MD,Test Optional,3,No,,,Private not-for-profit
Hope College,MI,Test Optional,,No,"https://hope.edu/admissions/apply.html#:~:text=We%20are%20not%20requiring%20an,of%20our%20holistic%20review%20process.",50%,Private not-for-profit
Hope International University,CA,Test Optional,,No,https://www.hiu.edu/undergraduate-on-campus/admissions/admissions-process.php,95%,Private not-for-profit
Horizon University,IN,Test Optional,,Unannounced,,,Private not-for-profit
Houghton University,NY,Test Optional,4,No,,67%,Private not-for-profit
"Houston Christian University
",TX,Test Optional,,Yes,https://hc.edu/admissions/test-optional-policy/,76%,Private not-for-profit
Howard Payne University,TX,Test Optional,,Unannounced,https://www.myfoxzone.com/article/news/local/howard-payne-university-announces-the-hpu-price-promise-tuition-program/504-17426e89-2c28-4b23-be12-33da0b2b0e8b,58%,Private not-for-profit
Howard University,DC,Test Optional,,Yes,https://admission.howard.edu/undergraduate/first-year,56%,Private not-for-profit
Huertas College,PR,Test Optional,6,Unannounced,https://huertas.edu/hc/wp-content/uploads/2021/03/Admission-process-and-documentation-checklist.pdf,,Private for-profit
Hult International Business School,MA,Test Optional,,Unannounced,https://www.hult.edu/en/programs/undergraduate/admission-and-fees/bba-how-to-apply/,,Private not-for-profit
Humphreys University-Stockton and Modesto Campuses,CA,Test Optional,,Unannounced,,,Private not-for-profit
Huntingdon College,AL,Test Optional,,Unannounced,,46%,Private not-for-profit
Huntington University,IN,Test Optional,3,Unannounced,https://www.huntington.edu/admissions/undergraduate/test-optional-faq,33%,Private not-for-profit
Huntington University of Health Sciences,--,Test Optional,,Unannounced,,,
Huntsville Bible College,AL,Test Optional,,Unannounced,,,Private not-for-profit
Husson University,ME,Test Optional,,Unannounced,https://www.husson.edu/admissions/undergraduate-professional-admissions/admission-requirements/,82%,Private not-for-profit
Huston-Tillotson University,TX,Test Optional,,Unannounced,,56%,Private not-for-profit
Idaho State University,ID,Test Optional,"2,3",Unannounced,,,Public
Ilisagvik College,AK,Test Optional,,Unannounced,https://www.ilisagvik.edu/wp-content/uploads/2023/02/Admissions-Packet-2023-forms.pdf,,Public
Illinois College,IL,Test Optional,,No,,44%,Private not-for-profit
Illinois Institute of Technology,IL,Test Optional,,Unannounced,https://www.iit.edu/admissions-aid/undergraduate-admission/first-year-students,43%,Private not-for-profit
Illinois State University,IL,Test Optional,,Unannounced,,39%,Public
Illinois Wesleyan University,IL,Test Optional,,Unannounced,https://www.iwu.edu/admissions/applications/,33%,Private not-for-profit
Immaculata University,PA,Test Optional,4,No,,71%,Private not-for-profit
Indian Bible College,AZ,Test Optional,,Unannounced,https://www.indianbible.org/admissions/,,Private not-for-profit
Indian River State College,FL,Test Optional,,Unannounced,,,Public
Indiana Institute of Technology,IN,Test Optional,,Unannounced,https://www.indianatech.edu/news/indiana-tech-makes-act-and-sat-test-scores-optional-for-applicants/,,Private not-for-profit
Indiana Institute of Technology-College of Professional Studies,IN,Test Optional,,No,https://www.ciat.edu/admissions/new-students/,,Private not-for-profit
Indiana State University,IN,Test Optional,3,No,https://www2.indstate.edu/news/news.php?newsid=5245,,Public
Indiana University of Pennsylvania-Main Campus,PA,Test Optional,,Unannounced,https://www.iup.edu/admissions/undergraduate/apply-next-steps/freshmen/requirements.html,58%,Public
Indiana University-Bloomington,IN,Test Optional,,Unannounced,"https://admissions.indiana.edu/test-optional/index.html#:~:text=IU%20Bloomington%20has%20adopted%20a,as%20part%20of%20the%20application.",41%,Public
Indiana University-East,IN,Test Optional,,Unannounced,https://www.iue.edu/admissions/freshmen/test-optional.php,77%,Public
Indiana University-Kokomo,IN,Test Optional,,Unannounced,https://www.iuk.edu/admissions/test-optional-faq.html,67%,Public
Indiana University-Northwest,IN,Test Optional,,Unannounced,,72%,Public
Indiana University-Purdue University-Indianapolis,IN,Test Optional,,Yes,,60%,Public
Indiana University-South Bend,IN,Test Optional,,Unannounced,,79%,Public
