UNITID,INSTNM,CITY,STABBR,ZIP,HIGHDEG,ST_FIPS,LATITUDE,LONGITUDE,LOCALE,ADM_RATE,SAT_AVG,C150_4,UGDS_MEN,UGDS_WOMEN,Avg_Net_Price,COSTT4_A,SAT_z
212054,Drexel University,Philadelphia,PA,19104,4,42,39.955217,-75.190051,11,0.7753,1337,0.7712,0.5116,0.4884,38428,75167,1.1598783886035113
212106,Duquesne University,Pittsburgh,PA,15282,4,42,40.43589,-79.993123,11,0.7885,1257,0.7555,0.3702,0.6298,34978,63042,0.6013229164289944
212115,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,4,42,40.99599,-75.173905,31,0.9288,1078,0.4383,0.4383,0.5617,15089,24369,-0.6484449525614872
212197,Elizabethtown College,Elizabethtown,PA,17022-2298,4,42,40.149236,-76.593224,21,0.7677,1190,0.7707,0.4121,0.5879,26198,49318,0.1335327084828365
212577,Franklin and Marshall College,Lancaster,PA,17604-3003,3,42,40.048045,-76.319037,13,0.3183,1394,0.8602,0.4732,0.5268,39061,83184,1.5578491625278545
212674,Gettysburg College,Gettysburg,PA,17325,4,42,39.836597,-77.236792,31,0.4751,1350,0.8273,0.4889,0.5111,30086,80400,1.2506436528318703
212805,Grove City College,Grove City,PA,16127-2104,4,42,41.1558,-80.081481,32,0.734,1261,0.7972,0.5191,0.4809,20000,37000,0.6292506900377203
212832,Gwynedd Mercy University,Gwynedd Valley,PA,19437-0901,4,42,40.19774,-75.237224,21,0.9361,1110,0.5849,0.2629,0.7371,27141,53359,-0.4250227636916804
212911,Haverford College,Haverford,PA,19041-1392,3,42,40.007452,-75.305207,21,0.1291,1498,0.894,0.4335,0.5665,25210,84605,2.2839712763547264
212984,Holy Family University,Philadelphia,PA,19114-2009,4,42,40.060581,-74.986451,11,0.7422,1030,0.6039,0.2885,0.7115,12251,38965,-0.9835782358661973
213011,Immaculata University,Immaculata,PA,19345,4,42,40.027981,-75.570711,21,0.7845,1163,0.6447,0.2846,0.7154,29464,45416,-0.054979763376062966
213020,Indiana University of Pennsylvania-Main Campus,Indiana,PA,15705-1098,4,42,40.617531,-79.159332,32,0.912,1052,0.5239,0.3807,0.6193,17216,26405,-0.8299754810182052
213251,Juniata College,Huntingdon,PA,16652-2196,4,42,40.500523,-78.017292,32,0.7165,1185,0.6891,0.4809,0.5191,27663,69241,0.09862299147192918
213303,Keystone College,La Plume,PA,18440-0200,4,42,41.558969,-75.777456,21,0.796,1030,0.4116,0.4989,0.5011,21461,31742,-0.9835782358661973
213321,King's College,Wilkes-Barre,PA,18711-0801,4,42,41.250097,-75.879822,13,0.932,1150,0.601,0.526,0.474,23281,56991,-0.14574502760442196
213349,Kutztown University of Pennsylvania,Kutztown,PA,19530-0730,4,42,40.513561,-75.783933,31,0.9483,1170,0.5411,0.4324,0.5676,21205,28876,-0.006106159560792735
213358,La Roche University,Pittsburgh,PA,15237-5898,4,42,40.568615,-80.014851,21,0.7761,1140,0.5766,0.4224,0.5776,21972,45623,-0.21556446162623658
213385,Lafayette College,Easton,PA,18042-1768,3,42,40.69956,-75.209786,21,0.3147,1419,0.8805,0.5109,0.4891,32496,78854,1.732397747582391
213400,Lancaster Bible College,Lancaster,PA,17601-5036,4,42,40.075347,-76.287761,21,0.9519,1161,0.7143,0.4705,0.5295,22870,40813,-0.06894365018042589
213507,Lebanon Valley College,Annville,PA,17003-1400,4,42,40.330604,-76.514431,23,0.7453,1190,0.7251,0.4419,0.5581,28132,63990,0.1335327084828365
213543,Lehigh University,Bethlehem,PA,18015,4,42,40.606822,-75.380236,13,0.2926,1432,0.8921,0.5247,0.4753,33549,77515,1.82316301181075
213598,Lincoln University,Lincoln University,PA,19352-0999,4,42,39.807723,-75.926458,21,0.7837,984,0.5212,0.34,0.66,12912,27358,-1.3047476323665446
213668,Lycoming College,Williamsport,PA,17701-5192,3,42,41.24666,-77,13,0.6788,1169,0.5957,0.4776,0.5224,19258,61526,-0.013088102962974196
213774,Manor College,Jenkintown,PA,19046-3399,3,42,40.08714,-75.104786,21,0.9576,820,0.2442,0.2792,0.7208,16521,27178,-2.4497863503243043
213826,Marywood University,Scranton,PA,18509-1598,4,42,41.434587,-75.634142,13,0.8371,1153,0.7252,0.3537,0.6463,22222,52673,-0.12479919739787758
213996,Messiah University,Mechanicsburg,PA,17055,4,42,40.156579,-76.988269,21,0.7848,1214,0.785,0.4042,0.5958,27686,53939,0.30109935013519157
214041,Millersville University of Pennsylvania,Millersville,PA,17551-0302,4,42,40.000337,-76.357381,21,0.8941,1120,0.544,0.4244,0.5756,20231,27086,-0.3552033296698658
214148,Moore College of Art and Design,Philadelphia,PA,19103-1179,4,42,39.957078,-75.172105,11,0.6051,1303,0.6344,0,1,43369,68583,0.9224923129293416
214157,Moravian University,Bethlehem,PA,18018-6650,4,42,40.630947,-75.383638,13,0.54,1154,0.7107,0.3624,0.6376,29843,64260,-0.11781725399569612
214166,Mount Aloysius College,Cresson,PA,16630-1999,4,42,40.459679,-78.600898,31,0.9041,1034,0.5556,0.2823,0.7177,20748,38533,-0.9556504622574715
214175,Muhlenberg College,Allentown,PA,18104,4,42,40.596416,-75.508501999999993,12,0.6401,1327,0.8025,0.408,0.592,30314,73782,1.0900589545816968
214591,Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-0001,4,42,42.119417,-79.983818,22,0.9571,1213,0.457,0.6334,0.3666,22951,32038,0.2941174067330101
214625,Pennsylvania State University-Penn State New Kensington,New Kensington,PA,15068-1765,3,42,40.551056,-79.697461,41,0.9331,1133,0.2443,0.617,0.383,19522,27036,-0.2644380654415068
